0,370,817,853
1,405,1023,851
2,211,1420,967
3,149,827,942
4,539,633,885
5,373,343,734
6,342,194,697
7,75,435,883
8,598,914,1024
9,497,869,715
10,569,390,1014
11,341,387,976
12,306,189,989
13,148,638,919
14,227,1038,1033
15,454,500,956
16,254,343,897
17,409,1056,854
18,555,1020,942
19,310,802,961
20,189,1095,1066
21,203,588,1023
22,449,49,721
23,311,746,870
24,87,1377,1090
25,447,395,956
26,113,558,1022
27,67,908,911
28,92,821,919
29,172,1055,884
30,120,1130,781
31,502,871,967
32,173,1068,994
33,429,278,755
34,513,873,1051
35,563,689,1057
36,447,405,1029
37,553,159,995
38,228,181,886
39,284,927,1059
40,276,754,1117
41,43,245,1077
42,279,1274,800
43,347,201,918
44,254,534,814
45,511,1053,1077
46,365,377,896
47,202,1442,745
48,375,170,858
49,491,330,973
50,455,1360,804
51,46,822,776
52,580,315,822
53,153,1444,888
54,521,1159,862
55,152,1381,929
56,429,1117,943
57,418,483,930
58,89,588,1094
59,334,74,943
60,195,564,1009
61,55,1198,1011
62,83,370,1059
63,548,1471,1009
64,499,1160,952
65,582,218,719
66,182,969,716
67,414,314,932
68,192,472,1046
69,263,204,988
70,235,93,718
71,529,685,791
72,228,359,1066
73,286,61,944
74,304,953,799
75,19,1165,854
76,51,757,973
77,356,19,1045
78,542,1429,1044
79,520,484,692
80,319,453,712
81,213,799,854
82,135,1414,872
83,383,469,857
84,439,831,754
85,385,1302,736
86,229,49,710
87,235,345,973
88,78,417,961
89,282,767,1020
90,256,798,975
91,230,123,802
92,599,775,1017
93,107,1398,869
94,68,50,742
95,5,963,863
96,354,873,1040
97,505,37,819
98,447,622,1050
99,205,1339,928
100,86,1056,721
101,325,145,806
102,426,674,961
103,261,340,958
104,121,543,896
105,327,185,948
106,362,381,1012
107,577,936,1105
108,539,1060,769
109,8,876,1100
110,273,470,801
111,238,151,696
112,153,379,697
113,167,438,1108
114,86,860,830
115,297,153,1118
116,439,196,832
117,363,1476,765
118,305,1203,864
119,413,935,930
120,491,738,734
121,489,161,1089
122,356,1198,1073
123,491,1058,903
124,542,1002,933
125,308,530,1054
126,73,286,948
127,416,1434,1079
128,500,425,817
129,49,420,997
130,386,715,772
131,31,290,802
132,313,772,1018
133,445,561,1053
134,567,570,960
135,83,1049,951
136,542,725,1038
137,308,229,967
138,392,985,941
139,329,658,1009
140,191,1050,731
141,595,968,1090
142,135,306,734
143,123,1131,976
144,261,1192,1062
145,429,801,1045
146,164,1034,788
147,386,703,911
148,535,1227,811
149,77,463,926
150,76,501,956
151,530,856,762
152,84,530,951
153,217,432,817
154,498,812,785
155,361,1052,1028
156,238,271,1048
157,436,1392,962
158,478,173,826
159,152,249,1070
160,13,1001,955
161,362,1152,1123
162,314,614,1077
163,281,1057,807
164,328,410,788
165,175,40,710
166,220,426,1016
167,398,177,880
168,255,668,712
169,435,434,816
170,396,695,1112
171,230,1214,747
172,217,1068,737
173,98,593,980
174,516,1443,693
175,194,421,946
176,11,46,990
177,107,280,1092
178,25,636,823
179,268,981,1033
180,530,235,726
181,50,1002,938
182,173,1343,737
183,485,217,838
184,220,269,772
185,329,584,902
186,354,117,720
187,11,1262,1044
188,57,668,883
189,240,1378,953
190,354,278,854
191,272,101,1007
192,465,624,705
193,375,673,1101
194,108,189,966
195,557,242,1068
196,145,384,802
197,388,339,840
198,463,418,687
199,202,671,813
200,360,483,908
201,107,945,1010
202,68,682,1109
203,532,819,1109
204,103,98,1108
205,66,757,1023
206,36,1233,1035
207,573,1004,1057
208,557,382,1021
209,432,802,895
210,111,1065,915
211,293,451,1075
212,144,232,922
213,260,170,1037
214,448,698,983
215,365,646,1027
216,236,511,829
217,538,472,1066
218,101,476,989
219,173,758,841
220,465,834,914
221,3,1169,858
222,22,278,736
223,59,34,898
224,410,1196,699
225,583,1268,733
226,595,1262,826
227,175,1082,899
228,524,683,1081
229,169,430,915
230,247,413,899
231,426,213,890
232,585,692,919
233,187,1397,896
234,26,1342,913
235,529,233,823
236,129,391,1115
237,103,213,970
238,257,1457,1082
239,333,769,1107
240,12,59,1011
241,362,148,831
242,161,750,806
243,13,577,1039
244,278,1285,819
245,7,620,751
246,105,1330,1071
247,37,467,694
248,62,329,874
249,134,727,1035
250,508,588,807
251,448,1290,937
252,297,51,754
253,425,748,1114
254,349,378,863
255,501,31,845
256,132,1277,1120
257,250,94,1047
258,182,1275,897
259,352,499,996
260,424,998,772
261,451,275,846
262,304,658,986
263,485,68,741
264,198,331,809
265,340,765,1060
266,34,973,1119
267,220,614,820
268,484,1467,1116
269,37,1163,982
270,359,1403,1089
271,479,912,897
272,349,372,949
273,187,285,1122
274,177,1168,887
275,346,1122,962
276,538,815,1004
277,246,326,951
278,311,265,725
279,185,970,971
280,458,1092,1100
281,243,602,922
282,264,832,765
283,313,1027,709
284,63,1273,756
285,340,1190,933
286,277,457,1093
287,443,926,813
288,57,1421,1003
289,417,629,803
290,249,290,931
291,508,982,1041
292,462,1158,752
293,20,1087,698
294,306,329,945
295,536,50,1115
296,205,1362,1015
297,297,660,948
298,244,346,770
299,426,285,1015
300,598,744,904
301,271,690,989
302,22,194,858
303,417,499,1048
304,489,31,861
305,119,842,841
306,579,109,850
307,164,860,1029
308,385,1063,981
309,495,67,1082
